L_501;L_503;L_511C;L_511R;L_512;L_521;L_551;L_561;L_562;Trasfega;Filtracao;Brassagem;Energia
1750.35;2518.5;3510.751;0;6596.862;0;0;4045.8;0;16201;16159;12581.2;125373
1755.6;0;3399.608;0;6033.656;0;0;0;0;5982;12853;14746.6;109181
0;0;3979.308;0;5876.131;0;355.08;2229;480;6018;15121;15547.6;123024
2053.8;0;1933.614;0;4479.657;378.6;437.64;2936.64;0;12377;7200;6382.1;117750
3573.15;2959.341;3501.038;0;4705.133;0;0;3211.68;2130.96;12393;19280;8496.5;134551
3080.85;3172.275;3950.448;0;5476.302;390;197.352;2390.52;3878.01;5885;20319;11807.7;147324
3620.4;3525.693;4172.478;0;6445.388;181;0;1837.92;3093.9;12057;16023;10455.5;147525
3493.05;3034.206;4479.22;0;4301.794;230;0;2958.12;1034.58;6245;15526;14357.7;139624
1277.7;3353.4;4926.178;0;4751.796;0;0;0;1811.04;9886;10339;12448;132626
0;0;4244.728;0;5598.18;380;0;2539.44;1548.12;12089;12624;15091.3;128119
2737.2;304.29;2966.174;0;6504.456;480.5;600.6;2883.6;3486.3;6313;8084;19033.3;149146
3368.25;3198.909;4342.133;0;3073.476;0;598.44;4890.12;1437.168;6460;20700;9002.5;144952
3555.15;3521.07;4003.016;0;5593.938;0;409.32;3186.96;2765.61;18558;13120;10695.8;143907
3322.5;3165.927;4291.801;0;7091.574;0;0;3473.76;3536.34;6212;13768;16045.4;152067
3296.7;3306.756;4340.428;0;6583.248;0;0;2944.44;1969.35;9907;17883;17392.4;154508
0;0;3686.519;0;6698.244;0;0;0;0;12300;16618;17704.6;104249
2626.05;1870.797;1823.067;0;7040.124;0;0;3097.92;1589.28;6231;15761;10916.5;140957
3532.5;3180.9;4149.793;0;7162.68;374;417.6;1712.28;2201.04;11930;17795.5;14071.5;147603
2551.2;2521.881;4131.583;0;7008.96;414;375.36;2416.92;2482.8;6323;29264;14574.1;152877
1516.2;2008.245;3506.129;0;4945.43;391.8;0;3066.12;1452.24;17699;12430;18189;147877
1215.9;3189.042;4215.44;0;6772.385;486.4;0;2336.4;3122.04;3888;10137;14676.7;143382.1
3786.3;2489.037;4200.488;0;5872.498;482.4;0;3082.08;4170.96;12791;19776;16863;158434
0;0;1879.768;0;2498.593;0;0;0;2453.52;6361;5497;4350.6;103000
1286.4;1358.403;1905.115;0;0;0;0;803.28;536.58;9711;6112;0;80000
2596.2;2677.338;4644.018;0;0;125.5;194.904;3917.04;1678.56;11744;11596;8495.8;111000
3283.8;696.21;4618.989;0;0;525.2;0;2621.28;1677.06;8337;16268;15622.5;123000
1969.8;2543.892;4022.249;0;3379.151;403.9;0;3276.48;4587.57;3095;12221;16389.4;149560
2594.1;3123.63;4475.513;0;6585.281;575.2;0;3754.44;4784.88;9137;13343;15386.4;157000
1852.2;1352.193;1671.049;0;3386.657;322.3;0;2028.6;1635.45;0;10654;7236.2;105000
2773.05;1069.5;2864.914;0;2803.558;0;0;0;1704.48;11362;3630;1894.9;117000
2377.65;2249.262;3273.448;0;4214.881;37.5;51.72;1295.04;1123.992;7987;17694;10598.3;119000
1255.05;2686.446;4059.95;0;5567.009;507.5;532.56;2420.52;1820.52;14688;15586;13980.7;143000
1346.25;2609.787;4669.087;0;5912.647;315.2;410.64;1149.48;1705.2;12618;15581;15473.2;143505
2761.05;967.035;4239.254;0;6733.245;604;605.04;4078.44;1654.2;5663;17490;13244.5;153737
2482.2;2954.718;4314.741;0;6267.565;238.5;0;3537.96;3337.98;12384;14400;13688.3;164749
2853.9;1800.9;4328.522;0;6834.322;172;0;3060.12;3695.52;12477;8900;16357.4;155191
1071;361.836;4032.836;0;6559.055;0;0;0;0;9998;16015;4947.7;114383
1474.2;2579.772;3905.845;0;5039.312;0;0;1985.64;1674.6;12742;11900;3209.3;118287
3057.3;471.96;3139.875;0;3634.255;274;195.984;3172.8;4063.5;12436;15867;12365.9;146847
