L_501,L_503,L_511C,L_511R,L_512,L_521,L_551,L_561,L_562,Trasfega,Filtracao,Brassagem,Energia,anomaly
3658.5,2061.72,4020.758,0.0,2061.72,0.0,0.0,3241.2,4525.74,6256,18014.0,12270.5,146622.8,1
1800.6,3243.483,4366.479,0.0,3243.483,120.0,0.0,3290.64,5267.64,9859,14820.0,17587.8,148970.79,1
0.0,0.0,3892.532,0.0,0.0,0.0,0.0,0.0,0.0,9269,21199.0,18825.5,104701.59,-1
0.0,2067.102,2602.774,0.0,2067.102,0.0,0.0,1835.04,1384.08,15506,6024.0,11382.7,127561.962,1
0.0,3613.944,4275.805,0.0,3613.944,150.0,0.0,3149.64,976.5,6112,10441.0,3466.4,126838.701,1
2633.7,0.0,3667.519,0.0,0.0,247.9,0.0,2664.0,1250.73,8989,15568.0,17942.5,136413.67,1
3567.75,3415.638,3869.912,0.0,3415.638,0.0,0.0,1850.76,4357.26,11711,12995.0,17901.2,152215.34,1
1571.25,3128.391,4606.444,0.0,3128.391,322.0,0.0,1707.84,3118.26,12274,19870.0,8089.8,138900.38,1
2296.35,3188.421,4172.372,0.0,3188.421,78.3,0.0,0.0,4679.88,12884,19066.0,18304.4,143260.0,1
0.0,2972.313,4596.412,0.0,2972.313,0.0,0.0,0.0,4862.7,3905,16770.0,21670.7,140396.315,1
0.0,1456.728,2992.906,0.0,1456.728,0.0,0.0,0.0,3260.52,12260,0.0,3604.0,111527.46,1
0.0,0.0,4376.788,0.0,0.0,231.3,0.0,0.0,2507.82,9232,19249.0,12264.9,98916.0,1
2938.2,3064.221,4017.287,0.0,3064.221,388.0,182.232,265.68,2391.12,8517,9393.0,15806.6,126642.0,1
3303.75,3537.285,2134.771,0.0,3537.285,299.3,595.8,2179.32,4444.44,6426,17440.0,11857.9,149267.87,1
0.0,3320.556,1747.239,0.0,3320.556,0.0,0.0,0.0,3275.28,6367,5947.0,14854.0,124290.0,1
3312.3,2648.358,5358.612,0.0,2648.358,418.0,0.0,2394.48,3220.848,9841,16463.0,12033.2,137692.0,1
2203.35,0.0,3038.53,0.0,3375.923,185.8,0.0,1757.52,1655.64,12934,12773.0,1702.5,122722.0,1
1428.9,2783.874,2106.272,0.0,5932.7,219.4,378.96,2928.36,1239.0,9290,11185.0,13900.3,131996.0,1
1675.5,2998.947,3757.767,0.0,6104.43,450.0,0.0,2958.48,1649.508,6386,15730.0,17030.3,141323.0,1
3622.5,2935.467,4858.445,0.0,6569.948,279.0,0.0,2623.08,2378.784,6340,18181.0,16814.8,145189.0,1
1826.25,0.0,3881.499,0.0,6848.686,0.0,0.0,0.0,3041.88,6139,13350.0,11397.0,121274.0,1
0.0,0.0,4021.993,0.0,5191.835,0.0,0.0,2637.12,1461.39,5959,8160.0,3454.6,108081.0,1
0.0,0.0,3777.449,0.0,1240.319,0.0,0.0,2157.96,1288.23,12107,11980.0,10553.5,113382.0,1
3309.0,3457.797,4183.98,0.0,2906.976,287.9,0.0,2150.16,2011.47,10195,11650.0,15624.8,129512.0,1
3156.6,3640.578,3033.674,0.0,6296.295,181.5,0.0,2583.6,0.0,6399,15497.0,13595.6,131660.0,1
0.0,2926.221,3755.957,0.0,6460.721,406.5,0.0,2102.4,4.65,12241,10163.0,11248.1,124218.0,1
1750.35,2518.5,3510.751,0.0,6596.862,0.0,0.0,4045.8,0.0,16201,16159.0,12581.2,125373.0,1
1755.6,0.0,3399.608,0.0,6033.656,0.0,0.0,0.0,0.0,5982,12853.0,14746.6,109181.0,1
0.0,0.0,3979.308,0.0,5876.131,0.0,355.08,2229.0,480.0,6018,15121.0,15547.6,123024.0,1
3573.15,2959.341,3501.038,0.0,4705.133,0.0,0.0,3211.68,2130.96,12393,19280.0,8496.5,134551.0,1
3080.85,3172.275,3950.448,0.0,5476.302,390.0,197.352,2390.52,3878.01,5885,20319.0,11807.7,147324.0,1
3620.4,3525.693,4172.478,0.0,6445.388,181.0,0.0,1837.92,3093.9,12057,16023.0,10455.5,147525.0,1
3493.05,3034.206,4479.22,0.0,4301.794,230.0,0.0,2958.12,1034.58,6245,15526.0,14357.7,139624.0,1
1277.7,3353.4,4926.178,0.0,4751.796,0.0,0.0,0.0,1811.04,9886,10339.0,12448.0,132626.0,1
